id,ticket_id,event_type,actor_user_id,created_at,metadata
20d6d08e-1a4e-4e74-9b64-594d22fa9a07,f6f03123-4b97-490d-bd43-844fb40d0bef,IN_PROGRESS,30c7e1ec-961c-41fe-a17f-72a040ea999a,2026-02-13 16:46:44.457805+00,"{""to"":""IN_PROGRESS"",""from"":""OPEN""}"
2c745e0b-0c58-4995-af1c-d599a0d1c61d,f6f03123-4b97-490d-bd43-844fb40d0bef,COMPLETED,30c7e1ec-961c-41fe-a17f-72a040ea999a,2026-02-13 16:48:36.120349+00,"{""to"":""COMPLETED"",""from"":""FIXED""}"
4474ed50-b37a-4002-9e83-47ebf4195e3c,f6f03123-4b97-490d-bd43-844fb40d0bef,VIEWED,,2026-02-13 15:31:18.709641+00,{}
a47019be-cf36-4907-b9a8-e1eaf4d3dbf7,f6f03123-4b97-490d-bd43-844fb40d0bef,FIXED,30c7e1ec-961c-41fe-a17f-72a040ea999a,2026-02-13 16:47:39.869202+00,"{""to"":""FIXED"",""from"":""IN_PROGRESS""}"
aa75112c-5c00-4f46-8d39-417287e308b9,f6f03123-4b97-490d-bd43-844fb40d0bef,VERIFIED,,2026-02-13 17:03:23.069985+00,{}
